"","site","Hydro_Metric","Biol","Threshold","Bio_threshold","High","Low","Direction"
"46",101011,"DS_Dur_WS","ASCI","Threshold75",0.86,75,25,"High"
"47",101011,"DS_Dur_WS","ASCI","Threshold75",0.94,80,20,"High"
"48",101011,"DS_Dur_WS","CSCI","Threshold25",0.79,100,NA,"High"
"49",101011,"DS_Dur_WS","CSCI","Threshold25",0.92,100,NA,"High"
"50",101011,"DS_Dur_WS","CSCI","Threshold50",0.79,100,NA,"High"
"51",101011,"DS_Dur_WS","CSCI","Threshold50",0.92,80,20,"High"
"52",101011,"DS_Dur_WS","CSCI","Threshold75",0.63,NA,100,"Low"
"53",101011,"DS_Dur_WS","CSCI","Threshold75",0.79,66.6666666666667,33.3333333333333,"High"
"54",101011,"DS_Dur_WS","CSCI","Threshold75",0.92,66.6666666666667,33.3333333333333,"High"
"55",101011,"Q99","ASCI","Threshold25",0.94,100,NA,"High"
"56",101011,"Q99","ASCI","Threshold50",0.94,100,NA,"High"
"57",101011,"Q99","ASCI","Threshold75",0.94,100,NA,"High"
"58",101011,"Q99","CSCI","Threshold25",0.92,100,NA,"High"
"59",101011,"Q99","CSCI","Threshold50",0.92,100,NA,"High"
"60",101011,"Q99","CSCI","Threshold75",0.92,100,NA,"High"
"61",101011,"SP_Dur","ASCI","Threshold25",0.75,25,75,"Low"
"62",101011,"SP_Dur","ASCI","Threshold25",0.86,25,75,"Low"
"63",101011,"SP_Dur","ASCI","Threshold25",0.94,20,80,"Low"
"64",101011,"SP_Dur","ASCI","Threshold50",0.75,16.6666666666667,83.3333333333333,"Low"
"65",101011,"SP_Dur","ASCI","Threshold50",0.86,14.2857142857143,85.7142857142857,"Low"
"66",101011,"SP_Dur","ASCI","Threshold50",0.94,12.5,87.5,"Low"
"67",101011,"SP_Dur","ASCI","Threshold75",0.75,12.5,87.5,"Low"
"68",101011,"SP_Dur","ASCI","Threshold75",0.86,22.2222222222222,77.7777777777778,"Low"
"69",101011,"SP_Dur","ASCI","Threshold75",0.94,22.2222222222222,77.7777777777778,"Low"
"70",101011,"SP_Tim","CSCI","Threshold25",0.63,100,NA,"High"
"71",101011,"SP_Tim","CSCI","Threshold25",0.79,100,NA,"High"
"72",101011,"SP_Tim","CSCI","Threshold25",0.92,100,NA,"High"
"73",101011,"SP_Tim","CSCI","Threshold50",0.63,100,NA,"High"
"74",101011,"SP_Tim","CSCI","Threshold50",0.79,100,NA,"High"
"75",101011,"SP_Tim","CSCI","Threshold50",0.92,100,NA,"High"
"76",101011,"SP_Tim","CSCI","Threshold75",0.63,80,20,"High"
"77",101011,"SP_Tim","CSCI","Threshold75",0.79,80,20,"High"
"78",101011,"SP_Tim","CSCI","Threshold75",0.92,80,20,"High"
"79",101012,"DS_Dur_WS","ASCI","Threshold25",0.75,100,NA,"High"
"80",101012,"DS_Dur_WS","ASCI","Threshold25",0.86,100,NA,"High"
"81",101012,"DS_Dur_WS","ASCI","Threshold25",0.94,100,NA,"High"
"82",101012,"DS_Dur_WS","ASCI","Threshold50",0.75,100,NA,"High"
"83",101012,"DS_Dur_WS","ASCI","Threshold50",0.86,100,NA,"High"
"84",101012,"DS_Dur_WS","ASCI","Threshold50",0.94,100,NA,"High"
"85",101012,"DS_Dur_WS","ASCI","Threshold75",0.75,100,NA,"High"
"86",101012,"DS_Dur_WS","ASCI","Threshold75",0.86,100,NA,"High"
"87",101012,"DS_Dur_WS","ASCI","Threshold75",0.94,100,NA,"High"
"88",101012,"DS_Dur_WS","CSCI","Threshold25",0.79,100,NA,"High"
"89",101012,"DS_Dur_WS","CSCI","Threshold25",0.92,100,NA,"High"
"90",101012,"DS_Dur_WS","CSCI","Threshold50",0.63,100,NA,"High"
"91",101012,"DS_Dur_WS","CSCI","Threshold50",0.79,100,NA,"High"
"92",101012,"DS_Dur_WS","CSCI","Threshold50",0.92,100,NA,"High"
"93",101012,"DS_Dur_WS","CSCI","Threshold75",0.63,100,NA,"High"
"94",101012,"DS_Dur_WS","CSCI","Threshold75",0.79,100,NA,"High"
"95",101012,"DS_Dur_WS","CSCI","Threshold75",0.92,100,NA,"High"
"96",101012,"Q99","ASCI","Threshold50",0.94,100,NA,"High"
"97",101012,"Q99","ASCI","Threshold75",0.94,100,NA,"High"
"98",101012,"Q99","CSCI","Threshold25",0.92,100,NA,"High"
"99",101012,"Q99","CSCI","Threshold50",0.92,100,NA,"High"
"100",101012,"Q99","CSCI","Threshold75",0.92,100,NA,"High"
"101",101012,"SP_Dur","ASCI","Threshold25",0.75,33.3333333333333,66.6666666666667,"Low"
"102",101012,"SP_Dur","ASCI","Threshold25",0.86,25,75,"Low"
"103",101012,"SP_Dur","ASCI","Threshold25",0.94,20,80,"Low"
"104",101012,"SP_Dur","ASCI","Threshold50",0.75,16.6666666666667,83.3333333333333,"Low"
"105",101012,"SP_Dur","ASCI","Threshold50",0.86,14.2857142857143,85.7142857142857,"Low"
"106",101012,"SP_Dur","ASCI","Threshold50",0.94,12.5,87.5,"Low"
"107",101012,"SP_Dur","ASCI","Threshold75",0.75,10,90,"Low"
"108",101012,"SP_Dur","ASCI","Threshold75",0.86,9.09090909090909,90.9090909090909,"Low"
"109",101012,"SP_Dur","ASCI","Threshold75",0.94,9.09090909090909,90.9090909090909,"Low"
"110",101012,"SP_Tim","CSCI","Threshold25",0.63,100,NA,"High"
"111",101012,"SP_Tim","CSCI","Threshold25",0.79,100,NA,"High"
"112",101012,"SP_Tim","CSCI","Threshold25",0.92,100,NA,"High"
"113",101012,"SP_Tim","CSCI","Threshold50",0.63,100,NA,"High"
"114",101012,"SP_Tim","CSCI","Threshold50",0.79,100,NA,"High"
"115",101012,"SP_Tim","CSCI","Threshold50",0.92,100,NA,"High"
"116",101012,"SP_Tim","CSCI","Threshold75",0.63,100,NA,"High"
"117",101012,"SP_Tim","CSCI","Threshold75",0.79,100,NA,"High"
"118",101012,"SP_Tim","CSCI","Threshold75",0.92,100,NA,"High"
"119",101020,"DS_Dur_WS","ASCI","Threshold25",0.86,100,NA,"High"
"120",101020,"DS_Dur_WS","ASCI","Threshold25",0.94,100,NA,"High"
"121",101020,"DS_Dur_WS","ASCI","Threshold50",0.75,100,NA,"High"
"122",101020,"DS_Dur_WS","ASCI","Threshold50",0.86,100,NA,"High"
"123",101020,"DS_Dur_WS","ASCI","Threshold50",0.94,100,NA,"High"
"124",101020,"DS_Dur_WS","ASCI","Threshold75",0.75,100,NA,"High"
"125",101020,"DS_Dur_WS","ASCI","Threshold75",0.86,100,NA,"High"
"126",101020,"DS_Dur_WS","ASCI","Threshold75",0.94,100,NA,"High"
"127",101020,"DS_Dur_WS","CSCI","Threshold25",0.79,100,NA,"High"
"128",101020,"DS_Dur_WS","CSCI","Threshold25",0.92,100,NA,"High"
"129",101020,"DS_Dur_WS","CSCI","Threshold50",0.79,100,NA,"High"
"130",101020,"DS_Dur_WS","CSCI","Threshold50",0.92,100,NA,"High"
"131",101020,"DS_Dur_WS","CSCI","Threshold75",0.63,100,NA,"High"
"132",101020,"DS_Dur_WS","CSCI","Threshold75",0.79,100,NA,"High"
"133",101020,"DS_Dur_WS","CSCI","Threshold75",0.92,100,NA,"High"
"134",101020,"Q99","ASCI","Threshold75",0.94,100,NA,"High"
"135",101020,"Q99","CSCI","Threshold50",0.92,100,NA,"High"
"136",101020,"Q99","CSCI","Threshold75",0.92,100,NA,"High"
"137",101020,"SP_Dur","ASCI","Threshold25",0.75,50,50,"Uncertain"
"138",101020,"SP_Dur","ASCI","Threshold25",0.86,50,50,"Uncertain"
"139",101020,"SP_Dur","ASCI","Threshold25",0.94,50,50,"Uncertain"
"140",101020,"SP_Dur","ASCI","Threshold50",0.75,50,50,"Uncertain"
"141",101020,"SP_Dur","ASCI","Threshold50",0.86,50,50,"Uncertain"
"142",101020,"SP_Dur","ASCI","Threshold50",0.94,50,50,"Uncertain"
"143",101020,"SP_Dur","ASCI","Threshold75",0.75,40,60,"Low"
"144",101020,"SP_Dur","ASCI","Threshold75",0.86,40,60,"Low"
"145",101020,"SP_Dur","ASCI","Threshold75",0.94,40,60,"Low"
"146",101020,"SP_Tim","CSCI","Threshold25",0.63,100,NA,"High"
"147",101020,"SP_Tim","CSCI","Threshold25",0.79,100,NA,"High"
"148",101020,"SP_Tim","CSCI","Threshold25",0.92,100,NA,"High"
"149",101020,"SP_Tim","CSCI","Threshold50",0.63,100,NA,"High"
"150",101020,"SP_Tim","CSCI","Threshold50",0.79,100,NA,"High"
"151",101020,"SP_Tim","CSCI","Threshold50",0.92,100,NA,"High"
"152",101020,"SP_Tim","CSCI","Threshold75",0.63,100,NA,"High"
"153",101020,"SP_Tim","CSCI","Threshold75",0.79,100,NA,"High"
"154",101020,"SP_Tim","CSCI","Threshold75",0.92,100,NA,"High"
"155",201010,"DS_Dur_WS","ASCI","Threshold25",0.94,100,NA,"High"
"156",201010,"DS_Dur_WS","ASCI","Threshold50",0.75,100,NA,"High"
"157",201010,"DS_Dur_WS","ASCI","Threshold50",0.86,100,NA,"High"
"158",201010,"DS_Dur_WS","ASCI","Threshold50",0.94,100,NA,"High"
"159",201010,"DS_Dur_WS","ASCI","Threshold75",0.75,80,20,"High"
"160",201010,"DS_Dur_WS","ASCI","Threshold75",0.86,85.7142857142857,14.2857142857143,"High"
"161",201010,"DS_Dur_WS","ASCI","Threshold75",0.94,88.8888888888889,11.1111111111111,"High"
"162",201010,"DS_Dur_WS","CSCI","Threshold25",0.79,100,NA,"High"
"163",201010,"DS_Dur_WS","CSCI","Threshold25",0.92,100,NA,"High"
"164",201010,"DS_Dur_WS","CSCI","Threshold50",0.79,100,NA,"High"
"165",201010,"DS_Dur_WS","CSCI","Threshold50",0.92,88.8888888888889,11.1111111111111,"High"
"166",201010,"DS_Dur_WS","CSCI","Threshold75",0.63,66.6666666666667,33.3333333333333,"High"
"167",201010,"DS_Dur_WS","CSCI","Threshold75",0.79,87.5,12.5,"High"
"168",201010,"DS_Dur_WS","CSCI","Threshold75",0.92,80,20,"High"
"169",201010,"Q99","ASCI","Threshold25",0.94,100,NA,"High"
"170",201010,"Q99","ASCI","Threshold50",0.86,100,NA,"High"
"171",201010,"Q99","ASCI","Threshold50",0.94,100,NA,"High"
"172",201010,"Q99","ASCI","Threshold75",0.75,100,NA,"High"
"173",201010,"Q99","ASCI","Threshold75",0.86,100,NA,"High"
"174",201010,"Q99","ASCI","Threshold75",0.94,100,NA,"High"
"175",201010,"Q99","CSCI","Threshold25",0.79,100,NA,"High"
"176",201010,"Q99","CSCI","Threshold25",0.92,100,NA,"High"
"177",201010,"Q99","CSCI","Threshold50",0.79,100,NA,"High"
"178",201010,"Q99","CSCI","Threshold50",0.92,100,NA,"High"
"179",201010,"Q99","CSCI","Threshold75",0.79,100,NA,"High"
"180",201010,"Q99","CSCI","Threshold75",0.92,100,NA,"High"
"181",201010,"SP_Dur","ASCI","Threshold25",0.75,33.3333333333333,66.6666666666667,"Low"
"182",201010,"SP_Dur","ASCI","Threshold25",0.86,12.5,87.5,"Low"
"183",201010,"SP_Dur","ASCI","Threshold25",0.94,9.09090909090909,90.9090909090909,"Low"
"184",201010,"SP_Dur","ASCI","Threshold50",0.75,7.14285714285714,92.8571428571429,"Low"
"185",201010,"SP_Dur","ASCI","Threshold50",0.86,13.3333333333333,86.6666666666667,"Low"
"186",201010,"SP_Dur","ASCI","Threshold50",0.94,10.5263157894737,89.4736842105263,"Low"
"187",201010,"SP_Dur","ASCI","Threshold75",0.75,10.5263157894737,89.4736842105263,"Low"
"188",201010,"SP_Dur","ASCI","Threshold75",0.86,10.5263157894737,89.4736842105263,"Low"
"189",201010,"SP_Dur","ASCI","Threshold75",0.94,10,90,"Low"
"190",201010,"SP_Tim","CSCI","Threshold25",0.63,100,NA,"High"
"191",201010,"SP_Tim","CSCI","Threshold25",0.79,100,NA,"High"
"192",201010,"SP_Tim","CSCI","Threshold25",0.92,100,NA,"High"
"193",201010,"SP_Tim","CSCI","Threshold50",0.63,100,NA,"High"
"194",201010,"SP_Tim","CSCI","Threshold50",0.79,100,NA,"High"
"195",201010,"SP_Tim","CSCI","Threshold50",0.92,100,NA,"High"
"196",201010,"SP_Tim","CSCI","Threshold75",0.63,100,NA,"High"
"197",201010,"SP_Tim","CSCI","Threshold75",0.79,100,NA,"High"
"198",201010,"SP_Tim","CSCI","Threshold75",0.92,100,NA,"High"
"199",201020,"DS_Dur_WS","ASCI","Threshold25",0.94,100,NA,"High"
"200",201020,"DS_Dur_WS","ASCI","Threshold50",0.75,100,NA,"High"
"201",201020,"DS_Dur_WS","ASCI","Threshold50",0.86,100,NA,"High"
"202",201020,"DS_Dur_WS","ASCI","Threshold50",0.94,100,NA,"High"
"203",201020,"DS_Dur_WS","ASCI","Threshold75",0.75,83.3333333333333,16.6666666666667,"High"
"204",201020,"DS_Dur_WS","ASCI","Threshold75",0.86,87.5,12.5,"High"
"205",201020,"DS_Dur_WS","ASCI","Threshold75",0.94,90.9090909090909,9.09090909090909,"High"
"206",201020,"DS_Dur_WS","CSCI","Threshold25",0.79,100,NA,"High"
"207",201020,"DS_Dur_WS","CSCI","Threshold25",0.92,100,NA,"High"
"208",201020,"DS_Dur_WS","CSCI","Threshold50",0.79,100,NA,"High"
"209",201020,"DS_Dur_WS","CSCI","Threshold50",0.92,90.9090909090909,9.09090909090909,"High"
"210",201020,"DS_Dur_WS","CSCI","Threshold75",0.63,66.6666666666667,33.3333333333333,"High"
"211",201020,"DS_Dur_WS","CSCI","Threshold75",0.79,88.8888888888889,11.1111111111111,"High"
"212",201020,"DS_Dur_WS","CSCI","Threshold75",0.92,90.9090909090909,9.09090909090909,"High"
"213",201020,"Q99","ASCI","Threshold25",0.94,100,NA,"High"
"214",201020,"Q99","ASCI","Threshold50",0.86,100,NA,"High"
"215",201020,"Q99","ASCI","Threshold50",0.94,100,NA,"High"
"216",201020,"Q99","ASCI","Threshold75",0.75,100,NA,"High"
"217",201020,"Q99","ASCI","Threshold75",0.86,100,NA,"High"
"218",201020,"Q99","ASCI","Threshold75",0.94,100,NA,"High"
"219",201020,"Q99","CSCI","Threshold25",0.79,100,NA,"High"
"220",201020,"Q99","CSCI","Threshold25",0.92,100,NA,"High"
"221",201020,"Q99","CSCI","Threshold50",0.79,100,NA,"High"
"222",201020,"Q99","CSCI","Threshold50",0.92,100,NA,"High"
"223",201020,"Q99","CSCI","Threshold75",0.79,100,NA,"High"
"224",201020,"Q99","CSCI","Threshold75",0.92,100,NA,"High"
"225",201020,"SP_Dur","ASCI","Threshold25",0.75,33.3333333333333,66.6666666666667,"Low"
"226",201020,"SP_Dur","ASCI","Threshold25",0.86,12.5,87.5,"Low"
"227",201020,"SP_Dur","ASCI","Threshold25",0.94,8.33333333333333,91.6666666666667,"Low"
"228",201020,"SP_Dur","ASCI","Threshold50",0.75,7.69230769230769,92.3076923076923,"Low"
"229",201020,"SP_Dur","ASCI","Threshold50",0.86,13.3333333333333,86.6666666666667,"Low"
"230",201020,"SP_Dur","ASCI","Threshold50",0.94,11.1111111111111,88.8888888888889,"Low"
"231",201020,"SP_Dur","ASCI","Threshold75",0.75,10.5263157894737,89.4736842105263,"Low"
"232",201020,"SP_Dur","ASCI","Threshold75",0.86,10.5263157894737,89.4736842105263,"Low"
"233",201020,"SP_Dur","ASCI","Threshold75",0.94,10.5263157894737,89.4736842105263,"Low"
"234",201020,"SP_Tim","CSCI","Threshold25",0.63,100,NA,"High"
"235",201020,"SP_Tim","CSCI","Threshold25",0.79,100,NA,"High"
"236",201020,"SP_Tim","CSCI","Threshold25",0.92,100,NA,"High"
"237",201020,"SP_Tim","CSCI","Threshold50",0.63,100,NA,"High"
"238",201020,"SP_Tim","CSCI","Threshold50",0.79,100,NA,"High"
"239",201020,"SP_Tim","CSCI","Threshold50",0.92,100,NA,"High"
"240",201020,"SP_Tim","CSCI","Threshold75",0.63,100,NA,"High"
"241",201020,"SP_Tim","CSCI","Threshold75",0.79,100,NA,"High"
"242",201020,"SP_Tim","CSCI","Threshold75",0.92,100,NA,"High"
"243",201030,"DS_Dur_WS","ASCI","Threshold25",0.94,100,NA,"High"
"244",201030,"DS_Dur_WS","ASCI","Threshold50",0.94,100,NA,"High"
"245",201030,"DS_Dur_WS","ASCI","Threshold75",0.75,66.6666666666667,33.3333333333333,"High"
"246",201030,"DS_Dur_WS","ASCI","Threshold75",0.86,66.6666666666667,33.3333333333333,"High"
"247",201030,"DS_Dur_WS","ASCI","Threshold75",0.94,80,20,"High"
"248",201030,"DS_Dur_WS","CSCI","Threshold25",0.92,100,NA,"High"
"249",201030,"DS_Dur_WS","CSCI","Threshold50",0.79,100,NA,"High"
"250",201030,"DS_Dur_WS","CSCI","Threshold50",0.92,80,20,"High"
"251",201030,"DS_Dur_WS","CSCI","Threshold75",0.63,NA,100,"Low"
"252",201030,"DS_Dur_WS","CSCI","Threshold75",0.79,75,25,"High"
"253",201030,"DS_Dur_WS","CSCI","Threshold75",0.92,80,20,"High"
"254",201030,"Q99","ASCI","Threshold50",0.94,100,NA,"High"
"255",201030,"Q99","ASCI","Threshold75",0.94,100,NA,"High"
"256",201030,"Q99","CSCI","Threshold25",0.92,100,NA,"High"
"257",201030,"Q99","CSCI","Threshold50",0.92,100,NA,"High"
"258",201030,"Q99","CSCI","Threshold75",0.92,100,NA,"High"
"259",201030,"SP_Dur","ASCI","Threshold25",0.75,66.6666666666667,33.3333333333333,"High"
"260",201030,"SP_Dur","ASCI","Threshold25",0.86,50,50,"Uncertain"
"261",201030,"SP_Dur","ASCI","Threshold25",0.94,50,50,"Uncertain"
"262",201030,"SP_Dur","ASCI","Threshold50",0.75,40,60,"Low"
"263",201030,"SP_Dur","ASCI","Threshold50",0.86,33.3333333333333,66.6666666666667,"Low"
"264",201030,"SP_Dur","ASCI","Threshold50",0.94,33.3333333333333,66.6666666666667,"Low"
"265",201030,"SP_Dur","ASCI","Threshold75",0.75,28.5714285714286,71.4285714285714,"Low"
"266",201030,"SP_Dur","ASCI","Threshold75",0.86,28.5714285714286,71.4285714285714,"Low"
"267",201030,"SP_Dur","ASCI","Threshold75",0.94,25,75,"Low"
"268",201030,"SP_Tim","CSCI","Threshold25",0.63,100,NA,"High"
"269",201030,"SP_Tim","CSCI","Threshold25",0.79,100,NA,"High"
"270",201030,"SP_Tim","CSCI","Threshold25",0.92,100,NA,"High"
"271",201030,"SP_Tim","CSCI","Threshold50",0.63,100,NA,"High"
"272",201030,"SP_Tim","CSCI","Threshold50",0.79,100,NA,"High"
"273",201030,"SP_Tim","CSCI","Threshold50",0.92,100,NA,"High"
"274",201030,"SP_Tim","CSCI","Threshold75",0.63,100,NA,"High"
"275",201030,"SP_Tim","CSCI","Threshold75",0.79,100,NA,"High"
"276",201030,"SP_Tim","CSCI","Threshold75",0.92,100,NA,"High"
"277",201031,"DS_Dur_WS","ASCI","Threshold25",0.94,100,NA,"High"
"278",201031,"DS_Dur_WS","ASCI","Threshold50",0.75,100,NA,"High"
"279",201031,"DS_Dur_WS","ASCI","Threshold50",0.86,100,NA,"High"
"280",201031,"DS_Dur_WS","ASCI","Threshold50",0.94,100,NA,"High"
"281",201031,"DS_Dur_WS","ASCI","Threshold75",0.75,100,NA,"High"
"282",201031,"DS_Dur_WS","ASCI","Threshold75",0.86,100,NA,"High"
"283",201031,"DS_Dur_WS","ASCI","Threshold75",0.94,100,NA,"High"
"284",201031,"DS_Dur_WS","CSCI","Threshold25",0.79,100,NA,"High"
"285",201031,"DS_Dur_WS","CSCI","Threshold25",0.92,100,NA,"High"
"286",201031,"DS_Dur_WS","CSCI","Threshold50",0.79,100,NA,"High"
"287",201031,"DS_Dur_WS","CSCI","Threshold50",0.92,100,NA,"High"
"288",201031,"DS_Dur_WS","CSCI","Threshold75",0.63,100,NA,"High"
"289",201031,"DS_Dur_WS","CSCI","Threshold75",0.79,100,NA,"High"
"290",201031,"DS_Dur_WS","CSCI","Threshold75",0.92,100,NA,"High"
"291",201031,"Q99","CSCI","Threshold50",0.92,100,NA,"High"
"292",201031,"Q99","CSCI","Threshold75",0.92,100,NA,"High"
"293",201031,"SP_Dur","ASCI","Threshold25",0.75,66.6666666666667,33.3333333333333,"High"
"294",201031,"SP_Dur","ASCI","Threshold25",0.86,50,50,"Uncertain"
"295",201031,"SP_Dur","ASCI","Threshold25",0.94,50,50,"Uncertain"
"296",201031,"SP_Dur","ASCI","Threshold50",0.75,50,50,"Uncertain"
"297",201031,"SP_Dur","ASCI","Threshold50",0.86,50,50,"Uncertain"
"298",201031,"SP_Dur","ASCI","Threshold50",0.94,50,50,"Uncertain"
"299",201031,"SP_Dur","ASCI","Threshold75",0.75,50,50,"Uncertain"
"300",201031,"SP_Dur","ASCI","Threshold75",0.86,40,60,"Low"
"301",201031,"SP_Dur","ASCI","Threshold75",0.94,40,60,"Low"
"302",201031,"SP_Tim","CSCI","Threshold25",0.79,100,NA,"High"
"303",201031,"SP_Tim","CSCI","Threshold25",0.92,100,NA,"High"
"304",201031,"SP_Tim","CSCI","Threshold50",0.63,100,NA,"High"
"305",201031,"SP_Tim","CSCI","Threshold50",0.79,100,NA,"High"
"306",201031,"SP_Tim","CSCI","Threshold50",0.92,100,NA,"High"
"307",201031,"SP_Tim","CSCI","Threshold75",0.63,100,NA,"High"
"308",201031,"SP_Tim","CSCI","Threshold75",0.79,100,NA,"High"
"309",201031,"SP_Tim","CSCI","Threshold75",0.92,100,NA,"High"
"310",201040,"DS_Dur_WS","ASCI","Threshold25",0.94,100,NA,"High"
"311",201040,"DS_Dur_WS","ASCI","Threshold50",0.86,100,NA,"High"
"312",201040,"DS_Dur_WS","ASCI","Threshold50",0.94,100,NA,"High"
"313",201040,"DS_Dur_WS","ASCI","Threshold75",0.75,50,50,"Uncertain"
"314",201040,"DS_Dur_WS","ASCI","Threshold75",0.86,60,40,"High"
"315",201040,"DS_Dur_WS","ASCI","Threshold75",0.94,66.6666666666667,33.3333333333333,"High"
"316",201040,"DS_Dur_WS","CSCI","Threshold25",0.79,100,NA,"High"
"317",201040,"DS_Dur_WS","CSCI","Threshold25",0.92,100,NA,"High"
"318",201040,"DS_Dur_WS","CSCI","Threshold50",0.79,100,NA,"High"
"319",201040,"DS_Dur_WS","CSCI","Threshold50",0.92,80,20,"High"
"320",201040,"DS_Dur_WS","CSCI","Threshold75",0.63,NA,100,"Low"
"321",201040,"DS_Dur_WS","CSCI","Threshold75",0.79,66.6666666666667,33.3333333333333,"High"
"322",201040,"DS_Dur_WS","CSCI","Threshold75",0.92,62.5,37.5,"High"
"323",201040,"Q99","ASCI","Threshold25",0.94,100,NA,"High"
"324",201040,"Q99","ASCI","Threshold50",0.94,100,NA,"High"
"325",201040,"Q99","ASCI","Threshold75",0.75,100,NA,"High"
"326",201040,"Q99","ASCI","Threshold75",0.86,100,NA,"High"
"327",201040,"Q99","ASCI","Threshold75",0.94,100,NA,"High"
"328",201040,"Q99","CSCI","Threshold25",0.92,100,NA,"High"
"329",201040,"Q99","CSCI","Threshold50",0.79,100,NA,"High"
"330",201040,"Q99","CSCI","Threshold50",0.92,100,NA,"High"
"331",201040,"Q99","CSCI","Threshold75",0.79,100,NA,"High"
"332",201040,"Q99","CSCI","Threshold75",0.92,100,NA,"High"
"333",201040,"SP_Dur","ASCI","Threshold25",0.75,66.6666666666667,33.3333333333333,"High"
"334",201040,"SP_Dur","ASCI","Threshold25",0.86,25,75,"Low"
"335",201040,"SP_Dur","ASCI","Threshold25",0.94,22.2222222222222,77.7777777777778,"Low"
"336",201040,"SP_Dur","ASCI","Threshold50",0.75,18.1818181818182,81.8181818181818,"Low"
"337",201040,"SP_Dur","ASCI","Threshold50",0.86,20,80,"Low"
"338",201040,"SP_Dur","ASCI","Threshold50",0.94,23.5294117647059,76.4705882352941,"Low"
"339",201040,"SP_Dur","ASCI","Threshold75",0.75,21.0526315789474,78.9473684210526,"Low"
"340",201040,"SP_Dur","ASCI","Threshold75",0.86,20,80,"Low"
"341",201040,"SP_Dur","ASCI","Threshold75",0.94,20,80,"Low"
"342",201040,"SP_Tim","CSCI","Threshold25",0.63,100,NA,"High"
